地名,センター,燃やすごみ,燃やさないごみ,ペットボトル,有害・危険ごみ,容器包装プラ
青田,流山市クリーンセンター,火 金,木1 木3,木2 木4,水2 水4,木
十太夫,流山市クリーンセンター,火 金,木1 木3,木2 木4,水1 水3,木
